signal_id,timestamp,signal_action,signal_type,signal_price,status,skip_reason,consecutive_losses,win_streak,current_capital,has_open_position,feature_open,feature_high,feature_low,feature_close,feature_volume,feature_EMA_8,feature_EMA_21,feature_EMA_50,feature_RSI,feature_MACD,feature_MACD_signal,feature_MACD_hist,feature_ATR,feature_BB_width,feature_ema8_vs_ema21,feature_price_vs_ema50,feature_returns_1min,feature_hour,feature_minute,feature_day_of_week,feature_has_open_position,feature_consecutive_losses,feature_win_streak,feature_capital
109,2020-01-06 11:44:00,SELL,SELL_MODERATE,12033.45,EXECUTED,,0,1,978231.2500000012,True,12032.9,12035.0,12032.45,12033.45,0.0,12038.574820880975,12045.673697962742,12057.874050230539,32.58009786323839,-7.2884336044171505,-6.996797508348513,-0.29163609606863705,6.016816666666667,0.0016402903026383946,-7.098877081767569,-0.002025568531300981,-0.0012465097726344077,11.0,44.0,0.0,False,0.0,1.0,978231.2500000012
110,,NO_SIGNAL,,0.0,NO_SIGNAL,,0,2,978906.2500000016,False,,,,,,,,,,,,,,,,,,,,,,,,
111,,NO_SIGNAL,,0.0,NO_SIGNAL,,0,2,978906.2500000016,False,,,,,,,,,,,,,,,,,,,,,,,,
112,,NO_SIGNAL,,0.0,NO_SIGNAL,,0,2,978906.2500000016,False,,,,,,,,,,,,,,,,,,,,,,,,
113,,NO_SIGNAL,,0.0,NO_SIGNAL,,0,2,978906.2500000016,False,,,,,,,,,,,,,,,,,,,,,,,,
114,,NO_SIGNAL,,0.0,NO_SIGNAL,,0,2,978906.2500000016,False,,,,,,,,,,,,,,,,,,,,,,,,
115,,NO_SIGNAL,,0.0,NO_SIGNAL,,0,2,978906.2500000016,False,,,,,,,,,,,,,,,,,,,,,,,,
116,,NO_SIGNAL,,0.0,NO_SIGNAL,,0,2,978906.2500000016,False,,,,,,,,,,,,,,,,,,,,,,,,
117,2020-01-06 12:36:00,BUY,BUY_MODERATE,12035.4,GENERATED,,0,2,978906.2500000016,False,12032.0,12035.55,12032.0,12035.4,0.0,12033.228638219283,12031.94866786664,12033.88378707322,58.847732687760086,1.1160825125243719,0.9897980224053298,0.12628449011904208,6.017158333333333,0.0007899942996307156,1.2799703526434314,0.00012599531070822678,0.02285448342633778,12.0,36.0,0.0,False,0.0,2.0,978906.2500000016
118,2020-01-06 12:36:00,BUY,BUY_MODERATE,12035.4,EXECUTED,,0,2,978906.2500000016,True,12032.0,12035.55,12032.0,12035.4,0.0,12033.228638219283,12031.94866786664,12033.88378707322,58.847732687760086,1.1160825125243719,0.9897980224053298,0.12628449011904208,6.017158333333333,0.0007899942996307156,1.2799703526434314,0.00012599531070822678,0.02285448342633778,12.0,36.0,0.0,False,0.0,2.0,978906.2500000016
119,,NO_SIGNAL,,0.0,NO_SIGNAL,,1,0,974481.2500000019,False,,,,,,,,,,,,,,,,,,,,,,,,
120,,NO_SIGNAL,,0.0,NO_SIGNAL,,1,0,974481.2500000019,False,,,,,,,,,,,,,,,,,,,,,,,,
121,,NO_SIGNAL,,0.0,NO_SIGNAL,,1,0,974481.2500000019,False,,,,,,,,,,,,,,,,,,,,,,,,
122,,NO_SIGNAL,,0.0,NO_SIGNAL,,1,0,974481.2500000019,False,,,,,,,,,,,,,,,,,,,,,,,,
123,,NO_SIGNAL,,0.0,NO_SIGNAL,,1,0,974481.2500000019,False,,,,,,,,,,,,,,,,,,,,,,,,
124,,NO_SIGNAL,,0.0,NO_SIGNAL,,1,0,974481.2500000019,False,,,,,,,,,,,,,,,,,,,,,,,,
125,,NO_SIGNAL,,0.0,NO_SIGNAL,,1,0,974481.2500000019,False,,,,,,,,,,,,,,,,,,,,,,,,
126,,NO_SIGNAL,,0.0,NO_SIGNAL,,1,0,974481.2500000019,False,,,,,,,,,,,,,,,,,,,,,,,,
127,,NO_SIGNAL,,0.0,NO_SIGNAL,,1,0,974481.2500000019,False,,,,,,,,,,,,,,,,,,,,,,,,
128,,NO_SIGNAL,,0.0,NO_SIGNAL,,1,0,974481.2500000019,False,,,,,,,,,,,,,,,,,,,,,,,,
129,,NO_SIGNAL,,0.0,NO_SIGNAL,,1,0,974481.2500000019,False,,,,,,,,,,,,,,,,,,,,,,,,
130,,NO_SIGNAL,,0.0,NO_SIGNAL,,1,0,974481.2500000019,False,,,,,,,,,,,,,,,,,,,,,,,,
131,,NO_SIGNAL,,0.0,NO_SIGNAL,,1,0,974481.2500000019,False,,,,,,,,,,,,,,,,,,,,,,,,
132,,NO_SIGNAL,,0.0,NO_SIGNAL,,1,0,974481.2500000019,False,,,,,,,,,,,,,,,,,,,,,,,,
133,2020-01-06 12:58:00,SELL,SELL_MODERATE,12013.8,GENERATED,,1,0,974481.2500000019,False,12013.65,12014.55,12012.2,12013.8,0.0,12014.112217701891,12018.595162382138,12024.97736912639,31.367151558470866,-4.472963402409732,-4.231483358894739,-0.24148004351499353,6.006758333333334,0.0021573100360353856,-4.482944680246874,-0.0009295126953908772,-0.006658565412087647,12.0,58.0,0.0,False,1.0,0.0,974481.2500000019
134,2020-01-06 12:58:00,SELL,SELL_MODERATE,12013.8,EXECUTED,,1,0,974481.2500000019,True,12013.65,12014.55,12012.2,12013.8,0.0,12014.112217701891,12018.595162382138,12024.97736912639,31.367151558470866,-4.472963402409732,-4.231483358894739,-0.24148004351499353,6.006758333333334,0.0021573100360353856,-4.482944680246874,-0.0009295126953908772,-0.006658565412087647,12.0,58.0,0.0,False,1.0,0.0,974481.2500000019
135,2020-01-06 13:09:00,BUY,BUY_MODERATE,12025.1,GENERATED,,2,0,970243.7500000014,False,12023.4,12028.25,12023.4,12025.1,0.0,12020.489491159247,12019.39152742565,12023.011755554215,68.72968389979236,-0.2583169146964792,-1.755555985654352,1.4972390709578727,6.012791666666667,0.0014941618278498975,1.097963733596771,0.0001736872996751515,0.014970931441449231,13.0,9.0,0.0,False,2.0,0.0,970243.7500000014
136,2020-01-06 13:09:00,BUY,BUY_MODERATE,12025.1,EXECUTED,,2,0,970243.7500000014,True,12023.4,12028.25,12023.4,12025.1,0.0,12020.489491159247,12019.39152742565,12023.011755554215,68.72968389979236,-0.2583169146964792,-1.755555985654352,1.4972390709578727,6.012791666666667,0.0014941618278498975,1.097963733596771,0.0001736872996751515,0.014970931441449231,13.0,9.0,0.0,False,2.0,0.0,970243.7500000014
137,2020-01-06 13:18:00,SELL,SELL_MODERATE,12012.85,GENERATED,,3,0,965650.0000000014,False,12016.25,12016.85,12012.85,12012.85,0.0,12017.978148217066,12019.041753521238,12021.856350989048,44.70776140389154,-0.8132294101196749,-0.38928539031239456,-0.4239440198072803,6.007091666666668,0.0012227305356957538,-1.0636053041725972,-0.0007491647484464403,-0.031622790045471305,13.0,18.0,0.0,False,3.0,0.0,965650.0000000014
