trade_id,timestamp,action,strategy,status,exit_price,pnl
223,2022-12-12 10:15:00+05:30,SELL,trend_following,CLOSED,18492.6,1500.0
224,2022-12-12 10:30:00+05:30,SELL,trend_following,CLOSED,18496.2,1500.0
225,2022-12-12 12:15:00+05:30,SELL,trend_following,CLOSED,18492.55,3750.0
226,2022-12-12 12:30:00+05:30,SELL,trend_following,CLOSED,18484.9,3750.0
227,2022-12-12 15:00:00+05:30,SELL,trend_following,CLOSED,18521.55,-9131.249999999454
228,2022-12-14 13:45:00+05:30,BUY,trend_following,CLOSED,18655.95,1500.0
229,2022-12-14 14:00:00+05:30,BUY,trend_following,CLOSED,18644.4,3750.0
230,2022-12-19 10:00:00+05:30,SELL,trend_following,CLOSED,18410.8,-5793.75
231,2022-12-19 10:15:00+05:30,SELL,trend_following,CLOSED,18335.65,1500.0
232,2022-12-19 11:00:00+05:30,SELL,trend_following,CLOSED,18410.1,-5298.749999999836
233,2022-12-20 14:00:00+05:30,SELL,trend_following,CLOSED,18355.2,-8452.500000000327
234,2022-12-22 15:00:00+05:30,SELL,trend_following,CLOSED,18132.9,1500.0
235,2022-12-26 09:45:00+05:30,SELL,trend_following,CLOSED,17982.917192700526,-7375.0789050789535
236,2022-12-28 14:45:00+05:30,BUY,trend_following,CLOSED,18089.5,-10500.0
237,2022-12-28 15:00:00+05:30,BUY,trend_following,CLOSED,18089.5,-10860.000000000218
238,2022-12-30 13:45:00+05:30,BUY,trend_following,CLOSED,18180.35,3750.0
239,2022-12-30 14:15:00+05:30,BUY,trend_following,CLOSED,18178.15,3750.0
240,2022-12-30 14:30:00+05:30,BUY,trend_following,CLOSED,18183.2,3750.0
